Miami,Toronto,time_elapsed
Jump ball: B. Adebayo vs. A. Baynes (G. Dragić gains possession),NA,12:00.0
0,0,11:45.0
0,1,11:31.0
0,2,11:31.0
0,4,11:11.0
3,4,10:55.0
6,4,9:02.0
6,7,8:14.0
9,7,7:00.0
9,10,6:42.0
9,13,5:10.0
11,13,4:57.0
11,15,4:38.0
14,15,4:13.0
16,15,3:49.0
16,17,3:34.0
18,17,3:16.0
18,19,3:02.0
21,19,2:52.0
23,19,2:35.0
24,19,2:35.0
24,21,1:48.0
27,21,1:18.0
29,21,0:55.0
29,23,0:40.0
End of 1st quarter,NA,0:00.0
Start of 2nd quarter,NA,12:00.0
31,23,11:48.0
34,23,11:27.0
34,26,11:09.0
37,26,10:21.0
37,28,9:28.0
37,31,8:54.0
37,34,8:15.0
37,35,7:51.0
39,35,7:42.0
39,37,7:32.0
41,37,7:16.0
41,39,6:43.0
43,39,6:29.0
44,39,6:29.0
46,39,6:11.0
46,42,5:27.0
46,44,4:54.0
49,44,3:33.0
49,47,2:43.0
49,49,2:23.0
52,49,2:08.0
52,52,1:52.0
52,53,1:33.0
52,54,1:33.0
54,54,1:13.0
54,56,0:49.0
56,56,0:33.0
56,58,0:26.0
End of 2nd quarter,NA,0:00.0
Start of 3rd quarter,NA,12:00.0
58,58,11:32.0
58,61,11:12.0
61,61,10:25.0
61,63,10:09.0
62,63,9:40.0
63,63,9:40.0
63,66,8:20.0
63,67,7:56.0
63,68,7:56.0
66,68,7:27.0
66,70,7:02.0
68,70,6:48.0
69,70,6:48.0
69,71,6:26.0
69,72,6:26.0
70,72,5:31.0
71,72,5:31.0
72,72,5:31.0
75,72,4:27.0
77,72,3:42.0
77,75,3:20.0
79,75,3:07.0
79,77,2:54.0
82,77,2:37.0
83,77,2:03.0
84,77,2:03.0
84,78,1:24.0
86,78,1:11.0
86,81,0:45.0
88,81,0:31.0
88,82,0:13.0
88,83,0:13.0
End of 3rd quarter,NA,0:00.0
Start of 4th quarter,NA,12:00.0
88,85,11:32.0
91,85,10:13.0
93,85,8:57.0
94,85,8:57.0
Jump ball: O. Anunoby vs. K. Nunn (C. Boucher gains possession),NA,8:19.0
Jump ball: C. Boucher vs. B. Adebayo (O. Anunoby gains possession),NA,7:52.0
96,85,6:58.0
96,87,5:17.0
99,87,5:04.0
99,90,4:33.0
102,90,3:57.0
105,90,2:53.0
105,91,1:53.0
105,92,1:53.0
107,92,1:48.0
107,94,1:36.0
107,97,1:27.0
108,97,1:18.0
109,97,1:18.0
109,100,1:11.0
110,100,1:08.0
111,100,1:08.0
111,101,0:26.0
111,102,0:26.0
End of 4th quarter,NA,0:00.0
