Dallas,LA Lakers,time_rem
0-2,1-1,48M 0S
3,0,47M 42S
3,2,47M 25S
5,2,47M 11S
7,2,46M 27S
7,4,46M 18S
7,5,45M 46S
7,6,45M 46S
7,8,45M 16S
7,11,44M 49S
8,11,44M 31S
9,11,44M 31S
12,11,44M 10S
12,13,43M 55S
12,15,43M 34S
12,16,43M 34S
12,18,43M 2S
15,18,42M 28S
15,21,41M 36S
17,21,41M 13S
19,21,40M 56S
19,23,40M 37S
21,23,40M 29S
23,23,39M 57S
23,25,39M 22S
23,27,38M 39S
24,27,38M 28S
25,27,38M 28S
25,30,38M 2S
25,32,37M 0S
28,32,36M 42S
28,33,36M 14S
30,33,36M 0S
End of 1st quarter,NA,24M 0S
Start of 2nd quarter,NA,24M 0S
31,33,22M 43S
31,35,22M 26S
33,35,22M 10S
33,37,21M 57S
33,40,21M 31S
36,40,21M 16S
38,40,20M 28S
38,43,20M 11S
38,46,19M 47S
40,46,19M 30S
41,46,19M 30S
41,49,19M 16S
41,51,17M 55S
41,54,17M 25S
42,54,17M 18S
43,54,17M 18S
43,55,17M 10S
45,55,16M 32S
46,55,16M 32S
47,55,16M 20S
48,55,16M 20S
50,55,15M 28S
50,56,15M 15S
50,58,14M 40S
53,58,14M 24S
53,60,14M 4S
53,62,13M 45S
54,62,13M 34S
54,64,12M 58S
55,64,12M 41S
55,66,12M 30S
57,66,12M 5S
57,69,12M 0S
End of 2nd quarter,NA,0S
Start of 3rd quarter,NA,0S
57,71,-1M 43S
57,73,-1M 18S
59,73,-2M 51S
59,75,-2M 30S
60,75,-2M 18S
61,75,-2M 18S
61,76,-2M 8S
61,77,-2M 8S
63,77,-3M 49S
63,80,-3M 23S
65,80,-3M 8S
68,80,-6M 58S
68,81,-6M 20S
68,82,-6M 20S
68,83,-6M 20S
70,83,-7M 33S
70,86,-7M 20S
73,86,-8M 59S
73,88,-8M 24S
73,89,-8M 24S
76,89,-8M 14S
76,91,-8M 1S
79,91,-9M 50S
79,92,-9M 14S
81,92,-10M 30S
81,95,-10M 21S
82,95,-10M 13S
82,97,-10M 1S
82,99,-11M 0S
85,99,-12M 38S
End of 3rd quarter,NA,-12M 0S
Start of 4th quarter,NA,-12M 0S
87,99,-13M 42S
87,101,-13M 15S
87,104,-13M 4S
89,104,-14M 43S
91,104,-14M 0S
94,104,-15M 34S
94,106,-16M 20S
97,106,-17M 59S
97,109,-17M 31S
99,109,-17M 19S
99,111,-17M 4S
100,111,-18M 53S
100,114,-18M 43S
100,116,-19M 40S
102,116,-19M 21S
102,118,-20M 58S
104,118,-20M 41S
104,121,-20M 12S
105,121,-21M 56S
105,123,-21M 52S
107,123,-21M 30S
107,124,-21M 18S
107,125,-21M 18S
109,125,-21M 5S
109,128,-22M 51S
109,130,-22M 27S
110,130,-22M 23S
111,130,-22M 23S
111,133,-22M 0S
111,134,-23M 42S
111,135,-23M 42S
111,138,-24M 36S
113,138,-24M 27S
115,138,-24M 0S
End of 4th quarter,NA,-36M 0S
